file,line,kind,code
src/routes/webhooks.ts,51,: any,"async function extractMerchantId(webhookEvent: any): Promise<string> {"
src/routes/webhooks.ts,84,: any,"  } catch (error: any) {"
src/routes/webhooks.ts,127,: any,"    } catch (error: any) {"
src/routes/webhooks.ts,137,as any,"      const rawBody = (c as any).rawBody;"
src/routes/webhooks.ts,237,: any,"      } catch (enqueueError: any) {"
src/routes/webhooks.ts,249,: any,"    } catch (error: any) {"
src/routes/webhooks.ts,262,: any,"      } catch (dlqError: any) {"
src/routes/webhooks.ts,316,: any,"      } catch (error: any) {"
src/routes/webhooks.ts,349,: any,"  } catch (error: any) {"
src/repos/unit-of-work.ts,65,: any,"      } catch (error: any) {"
src/bootstrap/logging.ts,24,: any,"        (...args: any[]) => {"
src/cache/index.ts,66,: any,"    } catch (error: any) {"
src/cache/index.ts,105,: any,"    } catch (error: any) {"
src/cache/index.ts,137,: any,"    } catch (error: any) {"
src/cache/index.ts,164,: any,"    } catch (error: any) {"
src/cache/index.ts,199,: any,"    } catch (error: any) {"
src/cache/index.ts,239,: any,"    } catch (error: any) {"
src/cache/index.ts,314,: any,"  async setTemplate(merchantId: string, templateId: string, template: any): Promise<boolean> {"
src/cache/index.ts,332,: any,"  async setSession(sessionId: string, sessionData: any): Promise<boolean> {"
src/api/webhooks.ts,171,: any,"  private async handleInstagramVerification(c: any) {"
src/api/webhooks.ts,210,: any,"  private async handleInstagramWebhook(c: any) {"
src/api/webhooks.ts,404,: any,"  private async processInstagramEntry(entry: any): Promise<void> {"
src/api/webhooks.ts,470,: any,"  private async processWhatsAppEntry(entry: any): Promise<void> {"
src/api/webhooks.ts,558,: any,"    details: any"
src/api/webhooks.ts,589,: any,"  private generateMerchantBodyHash(merchantId: string, body: any): string {"
src/api/webhooks.ts,599,: any,"    body: any,"
src/repositories/message-repository.ts,217,: any,"    const params: any[] = [];"
src/repositories/message-repository.ts,243,: any,"    const params: any[] = [];"
src/repositories/message-repository.ts,371,: any,"    const params: any[] = [];"
src/repositories/message-repository.ts,471,: any,"    const params: any[] = [];"
src/startup/validation.ts,17,: any,"  details?: any;"
src/startup/validation.ts,594,as any,"    const sql = db.getSQL() as any;"
src/repos/template.repo.ts,151,: any,"  let params: any[] = [merchantId];"
src/repos/template.repo.ts,215,: any,"  const params: any[] = [];"
src/utils/timer-manager.ts,42,: any,"    (handler: (...a: any[]) => void, timeout?: number, ...args: any[]) => {"
src/utils/timer-manager.ts,51,: any,"    (handler: (...a: any[]) => void, timeout?: number, ...args: any[]) => {"
src/database/seed.ts,70,as any,"    const sql = this.db.getSQL() as any;"
src/database/seed.ts,121,: any,"      VALUES ${merchantsData.map((m: any) => ["
src/database/seed.ts,131,: any,"    return merchants.map((m: any) => m.id);"
src/database/seed.ts,140,as any,"    const sql = this.db.getSQL() as any;"
src/database/seed.ts,306,as any,"        p.merchant_id, p.sku, p.name_ar, (p as any).name_en ?? null, p.description_ar, p.category,"
src/database/seed.ts,308,as any,"        p.attributes ?? '{}', (p as any).variants ?? '[]', (p as any).images ?? '[]', "
src/database/seed.ts,309,as any,"        (p as any).tags ?? [], (p as any).is_featured ?? false, (p as any).is_on_sale ?? false, (p as any).sale_price_usd ?? null"
src/database/seed.ts,322,as any,"    const sql = this.db.getSQL() as any;"
src/database/seed.ts,407,: any,"    return conversations.map((c: any) => c.id);"
src/database/seed.ts,416,as any,"    const sql = this.db.getSQL() as any;"
src/database/seed.ts,524,as any,"    const sql = this.db.getSQL() as any;"
src/database/seed.ts,583,: any,"      VALUES ${messagesData.map((m: any) => ["
src/routes/utility-messages.ts,107,: any,"    } catch (error: any) {"
src/routes/utility-messages.ts,163,: any,"    } catch (error: any) {"
src/routes/utility-messages.ts,200,: any,"    } catch (error: any) {"
src/routes/utility-messages.ts,240,: any,"    } catch (error: any) {"
src/routes/utility-messages.ts,265,: any,"    } catch (error: any) {"
src/startup/validation.test.ts,53,: any,"const mockSQL = mock((strings: TemplateStringsArray, ...values: any[]) => {"
src/startup/validation.test.ts,111,as any,"global.fetch = mockFetch as any;"
src/startup/validation.test.ts,115,: any,"  let consoleSpy: any;"
src/repositories/merchant-repository.ts,260,as any,"      SET ${(sql as any).join(updateFields, sql`, `)}"
src/repositories/merchant-repository.ts,373,as any,"      ? sql`WHERE ${(sql as any).join(conditions, sql` AND `)}`"
src/repositories/merchant-repository.ts,382,as any,"        WHERE ${(sql as any).join(conditions, sql` AND `)}"
src/repositories/merchant-repository.ts,520,as any,"      ? sql`WHERE ${(sql as any).join(conditions, sql` AND `)}`"
